Header - skip 2 lines,,,,,,,,MartinsD,,,,,,,
LV_frame_name,EN_frame_name,,Frame_type,LV_role_name,EN_role_name,Class_restriction,Type,Format,Core,All,,Relation,Related_frame,Excluded_roles,Comment
Dzimšana,Being_born,aFR,,,,,,,1,4,,,,,
Dzimšana,Being_born,invFREL,,,,,,,,,,Precedes,Miršana,,
Dzimšana,Being_born,mFE,Core,Bērns,Child,Person,OntologicalType,EID,,,,,,,
Dzimšana,Being_born,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Dzimšana,Being_born,mFE,Peripheral,Vieta,Place,Location,OntologicalType,EID,,,,,,,
Dzimšana,Being_born,mFE,Extra-Thematic,Radinieki,Relatives,,,str v EID,,,,,,,Radniecības
Dzimšana,Being_born,uLU,V,dzimt,,,,,,,,,,,Tipiski 'dzimis' vai 'piedzimis'
Vecums,People_by_age,aFR,,,,,,,2,2,,,,,
Vecums,People_by_age,bFREL,,,,,,,,,,,,,reducējas uz dzimšanas laiku
Vecums,People_by_age,mFE,Core,Persona,Person,Person,OntologicalType,EID,,,,,,,
Vecums,People_by_age,mFE,Core,Vecums,Age,,,int vai EID,,,,,,,
Vecums,People_by_age,uLU,N,gads,,,,,,,,,,,
Vecums,People_by_age,uLU,A,vecs,,,,,,,,,,,
Miršana,Death,aFR,,,,,,,1,5,,,,,
Miršana,Death,invFREL,,,,,,,,,,Succeeds,Dzimšana,,
Miršana,Death,mFE,Core,Mirušais,Protagonist,Person,OntologicalType,EID,,,,,,,
Miršana,Death,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Miršana,Death,mFE,Peripheral,Vieta,Place,Location,OntologicalType,EID,,,,,,,
Miršana,Death,mFE,Peripheral,Veids,Manner,,,str v EID,,,,,,,
Miršana,Death,mFE,Extra-Thematic,Cēlonis,Cause,,,str v EID,,,,,,,Nozieguma freims?
Miršana,Death,uLU,V,mirt,,,,,,,,,,,
Miršana,Death,uLU,V,nogalināt,,,,,,,,,,,
Miršana,Death,uLU,V,aiziet (mūžībā),,,,,,,,,,,
Attiecības,Personal_relationship,aFR,,,,,,,4,5,,,,,arī Kinship FrameNet freims reizēm
Attiecības,Personal_relationship,mFE,Core,Partneris_1,Partner_1,,,EID,,,,,,Partneri,“Jāņa māte Liene” šis ir māte
Attiecības,Personal_relationship,mFE,Core,Partneris_2,Partner_2,,,EID,,,,,,Partneri,“Jāņa māte Liene” šis ir dēls
Attiecības,Personal_relationship,mFE,Core,Partneri,Partners,,,EID,,,,,,,Jānis un Pēteris ir brāļi
Attiecības,Personal_relationship,mFE,Core,Attiecības,Relationship,Attiecību veids,OntologicalType,EID,,,,,,,
Attiecības,Personal_relationship,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Attiecības,Personal_relationship,uLU,N,dēls,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,meita,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,bērns,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,māte,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,tēvs,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vecāki,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vectēvs,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vecmāte,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vecmāmiņa,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,mazdēls,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,mazmeita,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,brālis,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,māsa,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,brālēns,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,māsīca,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,onkulis,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,tante,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,znots,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vedekla,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,sievasmāte,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,sievastēvs,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vīramāte,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,vīratēvs,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,radinieks,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,ģimene,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,dzīvesbiedrs,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,draugs,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,kolēģis,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,partneris,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,mīļākā,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,konkurents,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,meitas uzņēmums,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,N,apakšuzņēmums,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,V,pazīt,,,,,,,,,,,
Attiecības,Personal_relationship,uLU,V,redzēt kopā,,,,,,,,,,,
Vārds,Being_named,aFR,,,,,,,2,3,,,,,
Vārds,Being_named,mFE,Core,Vārds,Name,,,str v EID,,,,,,,
Vārds,Being_named,mFE,Core,Entītija,Entity,PersonOrOrganization,OntologicalType,EID,,,,,,,
Vārds,Being_named,mFE,Peripheral,Tips,Type,,,str v EID,,,,,,,"raksturojums, kas tas ir par vārdu – pirmslaulību, skatuves vārds utml"
Vārds,Being_named,uLU,N,pseidonīms,,,,,,,,,,,
Vārds,Being_named,uLU,N,vārds,,,,,,,,,,,
Vārds,Being_named,uLU,V,saukt,,,,,,,,,,,
Dzīvesvieta,Residence,aFR,,,,,,,2,4,,,,,
Dzīvesvieta,Residence,mFE,Core,Rezidents,Resident,PersonOrOrganization,OntologicalType,EID,,,,,,,
Dzīvesvieta,Residence,mFE,Core,Vieta,Location,Location,OntologicalType,str v EID,,,,,,,
Dzīvesvieta,Residence,mFE,Extra-Thematic,Biežums,Frequency,,,str v EID,,,,,,,
Dzīvesvieta,Residence,mFE,Peripheral,Laiks,Time,,,str v EID,,,,,,,
Dzīvesvieta,Residence,uLU,V,dzīvot,,,,,,,,,,,
Dzīvesvieta,Residence,uLU,V,atrasties,,,,,,,,,,,
Dzīvesvieta,Residence,uLU,N,rezidents,,,,,,,,,,,
Dzīvesvieta,Residence,uLU,N,rīdzinieks,,,,,,,,,,,
Izglītība,Education_teaching,aFR,,,,,,,3,6,,,,,
Izglītība,Education_teaching,mFE,Core,Students,Student,Person,OntologicalType,EID,,,,,,,
Izglītība,Education_teaching,mFE,Core,Iestāde,Institution,Organization,OntologicalType,EID,,,,,,,
Izglītība,Education_teaching,mFE,Core,Nozare,Subject,,,str v EID,,,,,,,
Izglītība,Education_teaching,mFE,Extra-Thematic,Grāds,Qualification,,,str v EID,,,,,,,
Izglītība,Education_teaching,mFE,Peripheral,Laiks,Time,Time,OntologicalType,yyyymmdd-yyyymmdd v EID,,,,,,,
Izglītība,Education_teaching,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,"piemēram, “studēja Anglijā”"
Izglītība,Education_teaching,uLU,N,grāds,,,,,,,,,,,
Izglītība,Education_teaching,uLU,N,studijas,,,,,,,,,,,
Izglītība,Education_teaching,uLU,V,studēt,,,,,,,,,,,
Izglītība,Education_teaching,uLU,V,pabeigt,,,,,,,,,,,
Izglītība,Education_teaching,uLU,V,mācīties,,,,,,,,,,,
Nodarbošanās,People_by_vocation,aFR,,,,,,,2,4,,,,,
Nodarbošanās,People_by_vocation,bFREL,,,,,,,,,,ReFraming_Mapping,Amats,,
Nodarbošanās,People_by_vocation,mFE,Core,Persona,Person,Person,OntologicalType,EID,,,,,,,
Nodarbošanās,People_by_vocation,mFE,Core,Nodarbošanās,Vocation,Vocation,OntologicalType,str v EID,,,,,,,uzņēmuma nozare; Framenet šī loma nav izdalīta - tas ir Vocation atslēgvārds
Nodarbošanās,People_by_vocation,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Nodarbošanās,People_by_vocation,mFE,Peripheral,Statuss,Descriptor,,,str v EID,,,,,,,"Labs, izbijis?"
Nodarbošanās,People_by_vocation,uLU,N,ekonomists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,jurists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,politiķis,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,basketbolists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,tenisists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,futbolists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,hokejists,,,,,,,,,,,
